,CELA2A,CELA3A,CELA3B,CHGB,CLPS,CPA1,CPA2,CPB1,CTRB1,CTRB2,CTRC,ERCC-00002,ERCC-00003,ERCC-00004,ERCC-00009,ERCC-00022,ERCC-00042,ERCC-00043,ERCC-00044,ERCC-00046,ERCC-00074,ERCC-00076,ERCC-00092,ERCC-00095,ERCC-00096,ERCC-00108,ERCC-00111,ERCC-00112,ERCC-00113,ERCC-00116,ERCC-00130,ERCC-00131,ERCC-00136,ERCC-00145,ERCC-00171,GCG,GP2,INS,MALAT1,PLA2G1B,PNLIP,PNLIPRP1,PRSS1,PRSS3,REG1A,REG1B,SCG5,SPINK1,SYCN,TRY6,TTR
GSM2173804,0.00018901716337925526,0.0005226085617540697,0.0004678971661457104,0.0,0.0005248954255498619,0.0005804016649338837,0.0004247509889281471,0.0005362891140003194,0.0004320920380692853,0.00045174629513820955,0.0005150670877808335,0.0008207128159269628,0.0006199261299788358,0.0006819340579751662,0.0005565226049727897,0.0,0.000624379960028638,0.000602596135577418,0.0005274011963897181,0.0006735310310292321,0.0007884364311625457,6.300572112641842e-05,0.0005877598909502362,0.0004445231575993061,0.000805929265150108,0.0006258793431620293,0.0003591603151791569,0.00046736714690980236,0.0006786654616315074,0.00012601144225283685,0.0008428237084230007,0.0,0.0006337110215759895,0.0005150670877808335,0.0006270796394636337,0.0,0.0004080082546404936,0.0,0.0008084707070460951,0.0004359279676395517,0.00047742136759450394,0.0003091621804647555,0.0006421727587073435,0.00037660283195457535,0.0004740274464806592,0.00020930047514848758,0.0,0.00041950541588297647,0.0003353119174013244,0.0004313050371234732,0.0
GSM2173805,0.0,0.0,0.0,0.000692544307415575,0.0,0.0,0.0,7.652551350791623e-05,0.0,0.0,0.0,0.0009929697236604606,0.0007408617408538598,0.0008332084237973153,0.0007745555499020315,0.0005189470343593702,0.0007783545274201048,0.0007898908478530428,0.0,0.0007783545274201048,0.0009666073103971563,0.0007268279890447897,0.0006684281390303182,0.0,0.0010116152360626354,0.0007969891356934607,0.000757437706142817,0.0,0.00090445363144565,0.0,0.0010230840045208623,0.00021483427700943428,0.0008095154022845035,0.0006271079763571788,0.0007759343739822041,0.00015305102701583246,0.0,0.0011258507816127744,0.000975127884216259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008313874235652575,0.00038262756753958116,0.0,0.0,0.0008375497106676369
GSM2173806,0.0,0.0,0.0,0.0008791919832682874,0.0005736864440917184,0.0,0.0,0.0,0.0,0.0,0.0,0.0016335413799222294,0.0011501314453498301,0.0013710938533733341,0.0010375510628608219,0.0,0.001038220648216409,0.0002993337066680249,0.0,0.0013548383035364765,0.0015191670281541278,0.00093089142221503,0.0,0.0009448974723968445,0.0016075724149293277,0.0011059581854355415,0.0,0.0,0.0013941631440188352,0.0,0.0016516847407547985,0.001022831746221964,0.001294899848757707,0.0011137906193029277,0.0012624741572049474,0.0016923021281511927,0.0,0.0,0.001504803112960757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013368847695288467,0.0009407576879788757,0.0,0.0,0.0015486781026872907
GSM2173807,0.0013358831946547749,0.0014439405106598724,0.0013132589452371148,0.0,0.0014288172028850802,0.0014825363991945368,0.0013093697940855453,0.0014976561736425463,0.0013055270479168646,0.0012889993940570967,0.001415947271467115,0.0010840087973966836,0.000693625215516858,0.0008309875668230773,0.0008277379412799825,0.0,0.0007090672732593509,0.0,0.0,0.0007368362576836171,0.0010296614504650562,0.0003792329188799616,0.00010248320409620629,0.0004429250390374696,0.0010994316614728664,0.0009058699258634988,0.0,0.0,0.0009158552898367008,0.0005841993270723742,0.0010628212741297803,0.0004817161229761679,0.0008556044113738071,0.00035453363662967544,0.0006793977075221549,0.0,0.001342631512388696,0.0,0.0011201412222215002,0.0011197618224487139,0.0015300456173695115,0.0011686172085235307,0.0015747654316698196,0.0010630444470179255,0.001540651312312315,0.0012649122999834788,0.0,0.00119834136241358,0.0011969956127375401,0.0012637979400068392,0.0
GSM2173808,0.0,0.00011263224388772618,0.0,0.0012259085484238204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001486605050357306,0.0011592472803166793,0.0012698585098388962,0.0008696447269037924,0.0006323973685212011,0.0011423282756135296,0.0010205265139703607,0.0,0.001208883599362835,0.001423699150457191,0.0,0.0,0.0007608181365778294,0.0014450627791788575,0.0011821717031985726,0.0009132813041854311,0.0,0.001217347287515222,0.0,0.0015215526642113385,0.0009035772880740653,0.0012258225500202777,0.0010823033631951603,0.001187376384606619,0.001830480499341117,0.0,0.00011263224388772618,0.001437432337530338,0.0,0.0,0.0,0.0,0.0008972041583070765,0.0,0.0,0.0013602764497084368,0.0,0.0,0.0,0.0015327412874842946
GSM2173809,0.0,0.00011854466693394897,0.0004100971690121304,0.0,0.0,0.0,0.0,0.0,0.00039379685958695,0.000587293551540211,0.0,0.0014963311791760577,0.0012000072730741294,0.0012696069079804469,0.0010642086585041246,0.0008557939277982361,0.0008350753546308167,0.0008271193246362265,0.0,0.0012599455365811774,0.0014803370606029278,0.0009449839755525621,0.001106925278326849,0.0006973559609779094,0.0014574617217565761,0.0011527892558126772,0.00070583821847416,0.0,0.0012869713483841345,0.0,0.0015671515786167046,0.0,0.0013563770193792772,0.0009456639915701755,0.001212571904792586,0.0,0.0,0.0,0.0015287914294909975,0.00011854466693394897,0.0,0.0,0.0010181463158658323,0.00030643351868473725,0.0007112680016036938,0.0,0.0,0.0007597991137739152,0.0007657311698139773,0.0004631410444037894,0.0006308861934548478
GSM2173810,0.0,0.0,0.0,0.000922704859952076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001430281630877069,0.0011114816298231046,0.0012190590152368166,0.0010847302864515007,0.0008763594276686499,0.0009085179362828436,0.0009516998488480806,0.0008974470257411856,0.0011660512854320224,0.0013760537707661854,0.000830484576646817,0.001051342365550767,0.0,0.0014440674786556096,0.0011738147124755111,0.0010893170215166708,0.0,0.0012341493356483933,0.0,0.0014637244051909888,0.0,0.0011663305170384259,0.0009311476560497705,0.0011251614448358216,0.001645132332140128,0.0,0.0,0.0012968391108897238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001276666805686578,0.0005211499174279778,0.0,0.0,0.001494968193402047
GSM2173811,0.0009590254731237153,0.0011475159005146407,0.0010313865843976297,0.0,0.0011629468383265338,0.00118731742094489,0.0010661908628332817,0.0011856388542536857,0.0010438387403931809,0.001065501034363342,0.0011392609968640006,0.0007769103163154873,0.00048618237045288754,0.0006728100727955869,0.0,0.0003597773301190202,0.0003597773301190202,0.00035207887542186507,0.0,0.0005796065479872643,0.0008342296179924624,0.0,0.0,0.0,0.0008661825061539157,0.0005430750639862646,0.0005156178402517934,0.0,0.000649148897295134,0.0,0.0008443253715534752,0.0,0.0005897708201987785,0.0003044981984721655,0.0005220218330579017,0.0,0.001039845699070919,0.0,0.0009117655664244297,0.0009125369316627595,0.0012015321143034451,0.0008817991631769219,0.0012771952984514776,0.0008999137529407335,0.001225682575001449,0.0010112890259412035,0.0,0.0009910794364547928,0.0009219819047830055,0.001002984565604893,0.0
GSM2173812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012183668408544996,0.0009447067921742658,0.001079450346407931,0.0009125255143835412,0.0007945116349395586,0.0009636577409225714,0.000990204796754246,0.0008418094436671886,0.0010871870062231631,0.001196668720321568,0.0,0.0007184809147969926,0.0,0.0012413045345310207,0.000858735143052889,0.0009173907581711065,0.0,0.0010745027468111094,0.0,0.0012968787188614248,0.0,0.001080846713667203,0.000971776703020117,0.0010051859486850626,0.0,0.0,0.0,0.0012484341316340614,0.0,0.0,0.0,0.0008130777476289079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSM2173813,0.0012524320538684314,0.0014024632675889203,0.001293118435212024,0.0,0.0013725243003965331,0.0014529542818050344,0.001338939310897171,0.0014438039296587421,0.0012820453664261773,0.001290556362446919,0.001395187808857028,0.0009983281974647949,0.0006520957519989354,0.0007703767027600306,0.0006909499922043369,0.0006311148231976494,0.0005649990601998045,0.0005681727671313158,0.0,0.0007404084370919052,0.0010113528915163144,0.0004345158200426538,0.0006290508499097093,0.0004917390326419677,0.0010467856694304052,0.0005830916913937322,0.0002644129630803972,0.0,0.0007750868371950447,0.0,0.0010401422552931646,0.0,0.0007227824696559684,0.0004917390326419677,0.0007014953118913117,0.0,0.0013226330551664518,0.0,0.0010376859024751116,0.001109613625209349,0.0015009956524399868,0.0010833951387719213,0.0015347382176876718,0.001209927615661313,0.0014393286471946795,0.0011484604512052477,0.0,0.0012002438755777884,0.0010603596656238517,0.0012560678223779514,0.0
GSM2173814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012763557451485788,0.001022373966385877,0.0011512065638926393,0.0009383791887374097,0.0,0.000937455253076047,0.0008372924481855139,0.0,0.001145456682143213,0.001249147365666989,0.0,0.0009101328757739073,0.0006477149585207614,0.0012849290533465997,0.0009367117289435915,0.0008271416721858724,0.0007754181655943792,0.0011753203108195004,0.0,0.0013585871369039438,0.0006041614538755288,0.0011242528588814452,0.0,0.0010606058145371732,0.0,0.0,0.0,0.0013086748410613607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSM2173815,0.0,0.0,0.0,0.0007736082682916294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010609081053089375,0.0008206252450827968,0.0008621940704870079,0.0007705072471884584,0.0006149010803151244,0.0007798483181890766,0.0007129687323512041,0.0,0.0008674317187210716,0.0010206756511852585,0.0,0.0007783195352611401,0.0,0.001071543156248962,0.000869296489906692,0.000702418997716774,0.0,0.0008687209737713857,0.0,0.0010703910826227023,0.0,0.0008752031330260911,0.0007137042165395178,0.000815259558631269,0.0012418310899047365,0.0,8.02930399219237e-05,0.0009552230764666784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009921591789293224,0.0004484336170328506,0.0,0.0,0.0011674175839120554
GSM2173816,0.0009613235795730011,0.0012090978194484253,0.0011214641700105807,0.0,0.0012020192396525811,0.0012599708272426938,0.0011310277384594697,0.001295184225336893,0.0011021973009779085,0.001110121905286575,0.0012010042151233886,0.0009960658885897775,0.0006625771599300974,0.0008256150640974896,0.0007674649251249369,0.0,0.0006318820890163884,0.0006715549220337164,0.0,0.0007972543438059807,0.0009844089279614596,0.00039032680273681645,0.0005485216420049125,0.0,0.000977849699483002,0.0007164088378538804,8.752837494032292e-05,0.0005639403740239624,0.0007811743350876889,0.0,0.0009639782362983422,0.0,0.0006867029947696325,0.0006816624552171137,0.0007012097029448207,0.0,0.0010597822651140965,0.0,0.001032096952403672,0.0009709310061523774,0.0012145973739462433,0.000997385702421725,0.0013348921418780313,0.0009434594672517364,0.0012885372648162327,0.0010522679589716308,0.000491446428416838,0.0010913361193622044,0.0009948278712964245,0.0010666578713326626,0.0
GSM2173817,0.001755762092462152,0.0021258192106644786,0.001963985453503965,0.0,0.002088284498601759,0.00220644198788976,0.0018930515296187776,0.0021480269107240174,0.0017952234816159787,0.001794777263885343,0.002115367699702082,0.0016272206439632494,0.0010341358820482771,0.001272788064748683,0.0012224043322162875,0.0006822031808403966,0.0,0.0008810261734053975,0.0,0.0011803984584906875,0.001583040092236728,0.0,0.000987438243287263,0.0006597769201792545,0.0016040482929468257,0.0009644359524982236,0.0010385296619681815,0.0,0.0013529395270788956,0.0,0.0016517708598286754,0.0,0.0011757300480434805,0.0,0.0011271983771485115,0.0,0.0018037517006286707,0.0,0.0016702911073788224,0.0016157684451489213,0.002156823009127985,0.00161692390198138,0.0023033135010667102,0.0016403514446833034,0.002210250929779297,0.00176274048737881,0.0,0.001875063892291486,0.0017152801025229003,0.0018246983903194168,0.0
GSM2173818,0.0,0.0,0.0,0.0007768351711494725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010042124513725311,0.0006930735095856037,0.000854471772939426,0.0007951736008641987,0.0005938160842741818,0.00048971308725148,0.0005566602890554413,0.0,0.0008070168150068691,0.0009744694646761923,0.0004058927808401614,0.0006854451410868434,0.0,0.0009735653954023236,0.000719717113077072,0.0007282466195183502,0.0,0.0007960198957990038,0.0,0.00099382020872258,0.0,0.0008045582971845311,0.0007180979276521617,0.0007292398916459312,0.0005489609090269932,0.0,0.0011829197724687332,0.0010415257314079294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009248864914312417,0.0,0.0,0.0,0.0009931061748774668
GSM2173819,0.0,0.00018898387055978953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012671168843742693,0.00089709277466634,0.0010449549645930084,0.0008982225301358461,0.0008012708478963666,0.0008877009609285038,0.0010051608484126329,0.0009053461852909431,0.0010504048541343,0.0012018796652682761,0.00036916965330586966,0.0008747484928925987,0.0007071602360719095,0.0012632031568908875,0.0009715594666594804,0.0009196914538549742,0.0,0.0009465076004311914,0.0,0.0013118158585900068,0.0007696045195585316,0.0011461802707511163,0.0009046324504331655,0.0010270160774144596,0.0,0.0,0.0,0.0012264341244617293,0.0,0.000219403479266666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSM2173820,0.001607751294137915,0.0019097698142194095,0.0017571752366125097,0.0,0.0018878500092011216,0.001949758098606595,0.0017191005779373266,0.0020169536192334797,0.0016999857560617108,0.0016948129228517234,0.001839831933427132,0.0013518484713900861,0.0008118679144758071,0.001092348660541496,0.000710320556971583,0.0006690654501041793,0.0007206763520893527,0.0007987487421697251,0.0,0.0011220177368351418,0.001385492939855066,0.000739883272257667,0.0002727044498212239,0.0004322263267464341,0.0012499978608700743,0.001194657004212119,0.0008271247576251302,0.0005045631887161357,0.0010773007679905798,0.0,0.0013940653757667332,0.000488817613194441,0.0010714531919909492,0.0,0.0010432379209983473,0.0,0.001643023659553494,0.0,0.0014620786641632336,0.0015326256040394189,0.002003341095959364,0.001447213808213649,0.0021013938124497893,0.0017402641050589338,0.0019477281227924547,0.0015908366170422107,0.0,0.0016933814835451329,0.001575035584199503,0.0016874011884662175,0.0
