Accession,Age
GSM2173061,5
GSM2173062,44
GSM2173063,44
GSM2173064,44
GSM2173065,5
GSM2173066,5
GSM2173067,5
GSM2173068,5
GSM2173069,5
GSM2173070,44
GSM2173071,5
GSM2173072,44
GSM2173073,44
GSM2173074,44
GSM2173075,44
GSM2173076,44
GSM2173077,44
GSM2173078,44
GSM2173079,44
GSM2173080,44
GSM2173081,44
GSM2173082,44
GSM2173083,44
GSM2173084,44
GSM2173085,44
GSM2173086,44
GSM2173087,44
GSM2173088,44
GSM2173089,44
GSM2173090,44
GSM2173091,44
GSM2173092,44
GSM2173093,44
GSM2173094,44
GSM2173095,44
GSM2173096,44
GSM2173097,44
GSM2173098,44
GSM2173099,44
GSM2173100,44
GSM2173101,44
GSM2173102,44
GSM2173103,44
GSM2173104,44
GSM2173105,44
GSM2173106,44
GSM2173107,44
GSM2173108,44
GSM2173109,44
GSM2173110,44
GSM2173111,44
GSM2173112,44
GSM2173113,44
GSM2173114,44
GSM2173115,44
GSM2173116,44
GSM2173117,44
GSM2173118,44
GSM2173119,44
GSM2173120,44
GSM2173121,44
GSM2173122,44
GSM2173123,44
GSM2173124,44
GSM2173125,44
GSM2173126,44
GSM2173127,44
GSM2173128,44
GSM2173129,44
GSM2173130,44
GSM2173131,44
GSM2173132,44
GSM2173133,44
GSM2173134,44
GSM2173135,44
GSM2173136,44
GSM2173137,44
GSM2173138,44
GSM2173139,44
GSM2173140,44
GSM2173141,44
GSM2173142,44
GSM2173143,44
GSM2173144,44
GSM2173145,44
GSM2173146,44
GSM2173147,44
GSM2173148,44
GSM2173149,44
GSM2173150,44
GSM2173151,44
GSM2173152,44
GSM2173153,6
GSM2173154,6
GSM2173155,6
GSM2173156,6
GSM2173157,6
GSM2173158,6
GSM2173159,6
GSM2173160,6
GSM2173161,6
GSM2173162,6
GSM2173163,6
GSM2173164,6
GSM2173165,6
GSM2173166,6
GSM2173167,6
GSM2173168,6
GSM2173169,6
GSM2173170,6
GSM2173171,6
GSM2173172,6
GSM2173173,6
GSM2173174,6
GSM2173175,6
GSM2173176,6
GSM2173177,6
GSM2173178,6
GSM2173179,6
GSM2173180,6
GSM2173181,6
GSM2173182,6
GSM2173183,6
GSM2173184,6
GSM2173185,6
GSM2173186,6
GSM2173187,6
GSM2173188,6
GSM2173189,6
GSM2173190,6
GSM2173191,6
GSM2173192,6
GSM2173193,6
GSM2173194,6
GSM2173195,6
GSM2173196,6
GSM2173197,6
GSM2173198,6
GSM2173199,6
GSM2173200,6
GSM2173201,6
GSM2173202,6
GSM2173203,6
GSM2173204,6
GSM2173205,6
GSM2173206,6
GSM2173207,6
GSM2173208,6
GSM2173209,6
GSM2173210,6
GSM2173211,6
GSM2173212,6
GSM2173213,6
GSM2173214,6
GSM2173215,6
GSM2173216,6
GSM2173217,6
GSM2173218,6
GSM2173219,6
GSM2173220,6
GSM2173221,6
GSM2173222,6
GSM2173223,6
GSM2173224,6
GSM2173225,6
GSM2173226,6
GSM2173227,6
GSM2173228,6
GSM2173229,6
GSM2173230,6
GSM2173231,6
GSM2173232,6
GSM2173233,6
GSM2173234,6
GSM2173235,6
GSM2173236,6
GSM2173237,6
GSM2173238,6
GSM2173239,6
GSM2173240,6
GSM2173241,6
GSM2173242,6
GSM2173243,6
GSM2173244,6
GSM2173245,6
GSM2173246,6
GSM2173247,6
GSM2173248,6
GSM2173249,6
GSM2173250,6
GSM2173251,6
GSM2173252,6
GSM2173253,6
GSM2173254,6
GSM2173255,6
GSM2173256,6
GSM2173257,6
GSM2173258,6
GSM2173259,6
GSM2173260,6
GSM2173261,6
GSM2173262,6
GSM2173263,6
GSM2173264,6
GSM2173265,6
GSM2173266,6
GSM2173267,6
GSM2173268,6
GSM2173269,6
GSM2173270,6
GSM2173271,6
GSM2173272,6
GSM2173273,6
GSM2173274,6
GSM2173275,6
GSM2173276,6
GSM2173277,6
GSM2173278,6
GSM2173279,6
GSM2173280,6
GSM2173281,6
GSM2173282,6
GSM2173283,6
GSM2173284,6
GSM2173285,6
GSM2173286,6
GSM2173287,6
GSM2173288,6
GSM2173289,6
GSM2173290,6
GSM2173291,6
GSM2173292,6
GSM2173293,6
GSM2173294,6
GSM2173295,6
GSM2173296,6
GSM2173297,6
GSM2173298,6
GSM2173299,6
GSM2173300,6
GSM2173301,6
GSM2173302,6
GSM2173303,6
GSM2173304,6
GSM2173305,6
GSM2173306,6
GSM2173307,6
GSM2173308,6
GSM2173309,6
GSM2173310,6
GSM2173311,6
GSM2173312,6
GSM2173313,6
GSM2173314,6
GSM2173315,6
GSM2173316,6
GSM2173317,6
GSM2173318,6
GSM2173319,6
GSM2173320,6
GSM2173321,6
GSM2173322,6
GSM2173323,6
GSM2173324,6
GSM2173325,6
GSM2173326,6
GSM2173327,6
GSM2173328,6
GSM2173329,6
GSM2173330,6
GSM2173331,44
GSM2173332,44
GSM2173333,44
GSM2173334,44
GSM2173335,44
GSM2173336,5
GSM2173337,44
GSM2173338,44
GSM2173339,5
GSM2173340,44
GSM2173341,5
GSM2173342,44
GSM2173343,44
GSM2173344,44
GSM2173345,44
GSM2173346,44
GSM2173347,44
GSM2173348,44
GSM2173349,44
GSM2173350,44
GSM2173351,44
GSM2173352,44
GSM2173353,44
GSM2173354,44
GSM2173355,44
GSM2173356,5
GSM2173357,5
GSM2173358,5
GSM2173359,44
GSM2173360,5
GSM2173361,44
GSM2173362,44
GSM2173363,44
GSM2173364,44
GSM2173365,44
GSM2173366,44
GSM2173367,44
GSM2173368,44
GSM2173369,44
GSM2173370,5
GSM2173371,5
GSM2173372,44
GSM2173373,5
GSM2173374,44
GSM2173375,44
GSM2173376,44
GSM2173377,44
GSM2173378,44
GSM2173379,5
GSM2173380,44
GSM2173381,44
GSM2173382,44
GSM2173383,5
GSM2173384,44
GSM2173385,44
GSM2173386,44
GSM2173387,5
GSM2173388,44
GSM2173389,44
GSM2173390,44
GSM2173391,44
GSM2173392,44
GSM2173393,44
GSM2173394,5
GSM2173395,5
GSM2173396,5
GSM2173397,5
GSM2173398,44
GSM2173399,5
GSM2173400,44
GSM2173401,5
GSM2173402,44
GSM2173403,5
GSM2173404,44
GSM2173405,44
GSM2173406,5
GSM2173407,5
GSM2173408,44
GSM2173409,44
GSM2173410,44
GSM2173411,44
GSM2173412,44
GSM2173413,44
GSM2173414,44
GSM2173415,44
GSM2173416,44
GSM2173417,44
GSM2173418,44
GSM2173419,44
GSM2173420,44
GSM2173421,44
GSM2173422,5
GSM2173423,5
GSM2173424,44
GSM2173425,44
GSM2173426,44
GSM2173427,44
GSM2173428,44
GSM2173429,44
GSM2173430,44
GSM2173431,44
GSM2173432,44
